home,mode,recep_a,recep_b,inject_target,task1_steps,task2_steps,task1_ok,task2_ok,drift_detected,task2_desc,error
1,nodrift,shelf,countertop,,5,4,True,True,,当前位置 (shelf 1),
1,drift,shelf,countertop,cabinet,5,8,True,True,True,第一遍 (countertop 2),
11,nodrift,diningtable,countertop,,7,4,True,True,,当前位置 (diningtable 1),
11,drift,diningtable,countertop,cabinet,7,17,True,True,True,第一遍 (cabinet 1),
12,nodrift,countertop,sinkbasin,,24,4,True,True,,当前位置 (countertop 1),
12,drift,countertop,sinkbasin,cabinet,24,16,True,True,True,第一遍 (cabinet 1),
13,nodrift,countertop,sinkbasin,,5,4,True,True,,当前位置 (countertop 2),
13,drift,countertop,sinkbasin,cabinet,5,8,True,True,True,第一遍 (countertop 3),
14,nodrift,countertop,sinkbasin,,16,4,True,True,,当前位置 (countertop 1),
14,drift,countertop,sinkbasin,cabinet,16,15,True,True,True,第一遍 (cabinet 1),
15,nodrift,diningtable,countertop,,5,4,True,True,,当前位置 (diningtable 1),
15,drift,diningtable,countertop,cabinet,5,4,True,True,False,当前位置 (countertop 1),
16,nodrift,diningtable,countertop,,5,4,True,True,,当前位置 (diningtable 1),
16,drift,diningtable,countertop,cabinet,5,8,True,True,True,第一遍 (countertop 2),
17,nodrift,diningtable,countertop,,5,4,True,True,,当前位置 (diningtable 1),
17,drift,diningtable,countertop,cabinet,5,7,True,True,True,第一遍 (countertop 1),
18,nodrift,diningtable,countertop,,5,4,True,True,,当前位置 (diningtable 1),
18,drift,diningtable,countertop,cabinet,5,4,True,True,False,当前位置 (countertop 2),
19,nodrift,diningtable,countertop,,5,4,True,True,,当前位置 (diningtable 1),
19,drift,diningtable,countertop,cabinet,5,5,True,True,False,记忆命中 (diningtable 1),
